period_days,duration_days,depth,prad_re,steff_K,srad_Rsun,smass_MSun,mission_onehot,log_period,log_duration,log_depth,duration_over_period,stellar_density_catalog,flag_giant_star,flag_implausible_prad,log_prad,rp_over_rstar,a_over_rstar,duration_expected_proxy,duration_anomaly,flag_ultrashort_period,flag_long_period,flag_long_duty,teff_bin_M,teff_bin_K,teff_bin_G,teff_bin_F/A,true,pred,p1_cand,p2_conf
20.486455,0.0833333333333333,,2.762,3664.0,0.371,0.357,1,3.067422736600229,0.0800427076735364,,0.0040677281289322,6.990978758762883,0,0,1.3249507308788386,0.0682377979044967,14.31612674050558,0.4555031414611459,0.1829474767584337,0,0,0,1,0,0,0,1,2,0.08364170777252135,0.9912413648733516
4.13029832,2.461,325.3,1.44,5490.0,0.81,0.864,0,1.6351638095386969,1.241557564653207,5.787817203599275,0.5958405939451381,1.6257653704449402,0,0,0.8919980393051105,0.0162949382003718,3.0269597044086884,0.4343349374273192,5.666121054999779,0,0,1,0,0,1,0,1,2,0.08616642013461014,0.9500580149851346
11.4927112,7.764,291.5,25.01,6198.0,1.005,1.072,0,2.525145370237002,2.17065242173322,5.678464666671911,0.6755585509223837,1.056078429585762,0,1,3.25848107946056,0.2280987343019209,5.186170178195776,0.7053842745097835,11.006750892830434,0,0,1,0,0,0,1,1,0,0.08765390940205782,0.003886189334459407
9.95639775,5.615,510.5,28.15,6161.0,1.053,1.15,0,2.393923555049988,1.889339797566919,6.2373475853916815,0.5639589314359271,0.984945850379324,0,1,3.3724549127965013,0.2450333929157634,4.604742209764959,0.6882511554351837,8.158347134342966,0,0,1,0,0,0,1,1,0,0.0893274619786657,0.028905571294330072
359.33831,18.566,977.9,2.33,5316.0,0.753,0.715,0,5.88704334016157,2.973793366035237,6.886429492267385,0.0516671878050876,1.6746347388005565,0,0,1.2029723039923526,0.0283619566541416,60.021771376674394,1.905657431102889,9.742564405550384,0,1,1,0,0,1,0,1,0,0.09199043387182212,0.00823040706047034
11.416439,0.0833333333333333,,3.034,3668.0,0.451,0.496,1,2.5190213204188905,0.0800427076735364,,0.0072994149956845,5.406887290850889,0,0,1.39475843953202,0.0616615269528042,8.898910269315676,0.4083606734280474,0.204067469490416,0,0,0,1,0,0,0,1,2,0.09452979776867251,0.9973333333333333
13.8253157,,,,5163.0,0.75,0.78,1,2.696336239766664,,,,1.848884506347837,0,0,,,7.070005145820042,0.6224513212797975,,0,0,0,0,1,0,0,1,2,0.0945682148818587,0.9896985714526657
27.765596,19.49,147.6,1.2,5897.0,0.999,1.088,0,3.359180089725152,3.0199369622508083,5.001258132283659,0.7019478097301491,1.0912694443465316,0,0,0.7884573603642702,0.0110100934022006,9.440211164575548,0.9362145202361024,20.817856122578327,0,0,1,0,0,1,0,1,0,0.09620321339999399,0.008952913454332231
1.56493,,,2.22,3938.0,0.624202,0.607401,1,0.9419311878019988,,,,2.497458321758414,0,0,1.169381359556317,0.0325989087013112,1.8287847575912264,0.2723843884489301,,0,0,0,1,0,0,0,1,2,0.09665109579054856,0.9803540645074239
53.5057611,10.5616,195.6,2.52,6247.0,1.762,1.174,0,3.9983064043393552,2.447689261971184,5.281171207713066,0.1973918244592202,0.2146101733212818,0,0,1.2584609896100056,0.013109009670969,8.501265489755797,2.003397111058841,5.271842846261823,0,0,1,0,0,0,1,1,2,0.09746932442722202,0.9210960480208208
4.0953585,44.35,226.8,7.76,6839.0,1.7,1.313,0,1.6283300273004009,3.814410176561146,5.428468051013081,10.829330123521514,0.2672500982596991,0,0,2.1701959049483,0.0418396503917633,1.6487963419586738,0.790632702299379,56.09424423853685,0,0,1,0,0,0,1,1,0,0.09958981970706629,0.0
0.582895412,1.0528,587.5,5.87,6263.0,1.009,1.068,0,0.4592557092278769,0.7192047148792349,6.377576926700331,1.8061528229135848,1.03967435397763,0,0,1.927164106234258,0.0533239337863542,0.7069020572462157,0.262470745244138,4.011098409928804,1,0,1,0,0,0,1,1,0,0.10195219560922761,0.002688584544040245
0.708621057,1.5041,187.5,1.2,5422.0,0.887,0.874,0,0.5356866457844545,0.9179293885426636,5.2390980068880655,2.1225701135633717,1.252391036953742,0,0,0.7884573603642702,0.0124003193867595,0.8567532036477458,0.2632739787453051,5.713038159448801,1,0,1,0,0,1,0,1,2,0.10355901408461195,0.7243557214474198
2.94242323,1.519,293.3,1.42,5436.0,0.819,0.919,0,1.3717955672494868,0.9238619973704733,5.684599655239428,0.516240990851275,1.6728731687142526,0,0,0.883767540168595,0.0158920413787124,2.437572259616716,0.384235591587148,3.953293447991349,0,0,1,0,0,1,0,1,2,0.10693690091880086,0.8171974128020889
4.22426989,4.22,13.6,0.35,5735.0,0.883,0.903,0,1.653315054115882,1.6524974018945473,2.681021528714291,0.9989889639866348,1.311610874620666,0,0,0.300104592450338,0.0036331437839177,2.8604596533466493,0.470073540890116,8.977299625734169,0,0,1,0,0,1,0,1,0,0.10752441445434639,0.06178674379252384
10.72725536,1.7541,56197.0,12.85,3324.0,0.268,0.267,0,2.461915650631972,1.0130907104678657,10.93663644805993,0.1635180460999069,13.870250919592438,0,0,2.6282852326333477,0.4394845055376928,11.686732009783777,0.292176729788168,6.003537645636925,0,0,1,1,0,0,0,1,0,0.1086648044497744,0.08269171422940917
49.4746966,10.46,291.0,1.62,5952.0,0.928,0.94,0,3.921472153284352,2.4388627112865935,5.676753802268282,0.2114212012889595,1.1762059757489949,0,0,0.9631743177730056,0.0160008216125586,14.226004226727,1.1070068366161294,9.448894266163316,0,0,1,0,0,1,0,1,2,0.10884880216082937,0.5443320569670029
57.140035,5.684,1567.0,5.78,5936.0,1.46,0.986,0,4.062854497125732,1.8997166107331471,7.357556200910353,0.0994749110763598,0.316824098682031,0,0,1.913977101952304,0.0362869301992207,10.1134536037477,1.7984199020034046,3.160550454939741,0,0,1,0,0,1,0,1,2,0.11436649445829158,0.822688627929732
12.732624065,2.2083,6465.7,4.87,3950.0,0.541,0.563,0,2.619774320601256,1.1657412018413762,8.7744212110092,0.173436348649759,3.555607853235066,0,0,1.7698546338400052,0.0825100666940559,8.32242726240277,0.4869876902707029,4.534602228180022,0,0,1,1,0,0,0,1,2,0.12274797660173695,0.9415935329440064
1.04347858,2.012,22.5,1.09,6014.0,2.246,1.281,0,0.7146535419511094,1.1026043099376472,3.1570004211501135,1.9281642291457208,0.1130628257935775,0,0,0.7371640659767197,0.0044482787428255,0.4974645338114455,0.6676835387774187,3.0133991176194153,0,0,1,0,0,0,1,1,0,0.12465339631898413,0.013484415173276984
6.37705295,1.949,502.8,2.15,5672.0,0.965,1.08,0,1.9983742295909237,1.0814661298331392,6.22217936391851,0.3056270207655997,1.2018252721320508,0,0,1.1474024528375415,0.0204214413698376,3.656173841613839,0.5551919934459469,3.5104909878329593,0,0,1,0,0,1,0,1,2,0.12568471618855487,0.9285531358312277
14.5555096,2.07,725.0,2.03,5176.0,0.738,0.826,0,2.744414890983007,1.1216775615991057,6.587550014824796,0.1422141796935656,2.0549907974228088,0,0,1.1085626195212777,0.0252124424620702,7.579164656504243,0.6113024591495785,3.386206914123638,0,0,1,0,1,0,0,1,2,0.1264277613605596,0.9618315160696607
113.05980069,19.03,,,,,,0,4.736722878313224,2.997231149677727,,0.1683180026458792,,0,0,,,,,,0,0,1,0,0,0,0,1,0,0.12700247796437777,0.020707317065904746
374.05697,22.53,961.1,2.34,5302.0,0.771,0.865,0,5.927077934431736,3.158276202739271,6.869118395367219,0.0602314667195441,1.8873481759034072,0,0,1.205970806988609,0.0278186931179798,64.15673618934693,1.855861703121714,12.139906665564585,0,1,1,0,0,1,0,1,0,0.12715406485647468,0.002688584544040245
3.1764,,,0.9532,4434.0,0.741,0.861,1,1.4294496314338183,,,,2.116154928013239,0,0,0.6694690532053682,0.0117907401894442,2.774208180166285,0.3644568440270208,,0,0,0,0,1,0,0,1,2,0.12768418118497088,0.8661749482401657
189.961729,12.46,699.9,1.93,5335.0,0.742,0.83,0,5.252073036241785,2.599722324216582,6.552365223506279,0.0655921590101332,2.031726819358003,0,0,1.075002423028976,0.0238412294682389,41.85354828316416,1.4447208748814329,8.624497362873102,0,0,1,0,0,1,0,1,0,0.12859071517174483,0.1316309560740099
1.002591901,1.247,143.2,0.87,4893.0,0.739,0.746,0,0.6944422920409026,0.8095959932031922,4.971201224850849,1.2437750145210735,1.848436076517612,0,0,0.6259384308664953,0.0107907109244078,1.2293740578637324,0.2595911734622764,4.80368873748504,0,0,1,0,1,0,0,1,2,0.12927918541929023,0.3972501952226608
9.011888,4.167,987.6,7.04,5627.0,1.735,1.103,0,2.303773186930849,1.6422922493050476,6.896289800872859,0.4623891838880838,0.211191770911689,0,0,2.084429083190875,0.0371919052811348,2.5789086874009493,1.1123200853427502,3.7462204528074574,0,0,1,0,0,1,0,1,2,0.13140417658163234,0.8438629908103593
55.180772,9.791,474.6,2.37,6306.0,1.076,1.126,0,4.028574563126718,2.3787124533815964,6.1645771648166265,0.1774349917135086,0.903860126197368,0,0,1.2149127443642704,0.0201888378709478,14.013887818780914,1.2533698163292315,7.811734462331802,0,0,1,0,0,0,1,1,2,0.1324863604135119,0.9605981566294085
2.494170338,1.1221,863.7,2.42,5569.0,0.829,0.928,0,1.2510959620976725,0.752406164434867,6.762382625966384,0.4498889001345745,1.6288594893129873,0,0,1.229640551074514,0.0267569175283582,2.163938984473196,0.3668859035409171,3.0584356900459864,0,0,1,0,0,1,0,1,2,0.13813895929497305,0.7369033291460199
46.245164,5.663,492.1,2.46,5553.0,1.107,0.933,0,3.855350299495365,1.8965698335804,6.2007119932300805,0.1224560448643658,0.6877624502523748,0,0,1.2412685890696329,0.0203686728123037,11.372521084377908,1.2943736473030516,4.3750856923838715,0,0,1,0,0,1,0,1,2,0.14103203308462361,0.9815875655366628
147.661729,6.207,1087.8,1.59,3788.0,0.49,0.52,0,5.001673449795906,1.975052775942304,6.992831451337256,0.0420352653324595,4.419889502762431,0,0,0.9516578757114464,0.0297424188678722,45.8475480605209,1.025184314425329,6.054515132690283,0,0,0,1,0,0,0,1,2,0.14216766758269275,0.9719573741932305
4.392503,0.075,,1.11,4707.0,0.669,0.705,1,1.6850096556092533,0.0723206615796261,,0.0170745433584124,2.354557567962325,0,0,0.7466879474879752,0.0152080000218118,3.5681599689900017,0.3918481094724055,0.1914002053009172,0,0,0,0,1,0,0,1,2,0.1426532094842647,1.0
5.42204257,2.952,79.1,1.39,6123.0,1.263,1.066,0,1.8597362244214344,1.374221779885621,4.383275854074314,0.5444441679394324,0.5291111791326165,0,0,0.8712933659434192,0.0100875731251985,2.4962648176866193,0.6913886097834777,4.26966208086997,0,0,1,0,0,0,1,1,2,0.1426532094842647,0.96568073183449
8.0772455,7.272,79.2,2.61,5684.0,2.032,1.239,0,2.205770787559706,2.1128763177660734,4.384523514872469,0.9003068062860284,0.1476726756285815,0,0,1.2837077723447896,0.0117731330256991,2.127855048823062,1.2082899579629072,6.018417958088569,0,0,1,0,0,1,0,1,2,0.14828633334942803,0.8402828282828283
1.05459,,,1.29,3445.0,0.533176,0.529871,1,0.7200763146607603,,,,3.495871891905042,0,0,0.8285518175661483,0.0221765692044958,1.572441182635166,0.2134809321306848,,0,0,0,1,0,0,0,1,2,0.14995857415210362,0.92858167147456
0.66682654,0.7847,511.6,1.49,3993.0,0.554,0.556,0,0.5109215431655779,0.5792503338798326,6.239495813929971,1.1767660345881934,3.269963787621168,0,0,0.9122827104766162,0.0246519765483265,1.1328949293048511,0.1873583217674485,4.188209012487642,1,0,1,1,0,0,0,1,2,0.15019444548648883,0.7093276288928463
34.7496038,4.548,227.1,3.51,5849.0,1.601,1.114,0,3.5765391865611225,1.7134375024525852,5.429784129290343,0.1308791862864581,0.271463278140967,0,0,1.506297153514587,0.0200951397809049,6.895038549848681,1.6042174015887365,2.8350254525792074,0,0,1,0,0,1,0,1,2,0.15158524831921613,0.8480859708221219
46.15119482,6.3427,1817.3,10.02,5877.0,1.963,1.187,0,3.8533593495855407,1.993706622398596,7.505657277625349,0.1374330586088809,0.1569241419867843,0,0,2.3997118037247684,0.0467867274795134,6.939875587715564,2.1168073213872325,2.9963506548591816,0,0,1,0,0,1,0,1,2,0.15158524831921613,0.5685050607477514
12.7143635,3.101,524.8,2.2,5947.0,0.962,1.022,0,2.618443714271438,1.411230846409922,6.264920912295781,0.2438973650629569,1.1479558666637266,0,0,1.1631508098056809,0.0209615239698694,5.7038906480758405,0.7095344456533637,4.370465237497045,0,0,1,0,0,1,0,1,2,0.15158524831921613,0.9509987071751779
